"<strong>Attention</strong>: Captcha is case sensitive.","<strong>Attenzione</strong>: Captcha è case sensitive."
"After number of attempts to login","Dopo un numero di tentativi di accesso"
"Always","Sempre"
"CAPTCHA","CAPTCHA"
"CAPTCHA Timeout (minutes)", "CAPTCHA Timeout (minuti)"
"CAPTCHA for ""Create user"" and ""Forgot password"" forms is always enabled if chosen","CAPTCHA per le form ""Crea utente"" e ""Password dimenticata"" è sempre abilitato se viene scelto"
"Case Sensitive","Case Sensitive"
"Displaying Mode","Modalità di visualizzazione"
"Enable CAPTCHA in Admin","Abilita CAPTCHA in Amministrazione"
"Enable CAPTCHA on Frontend","Abilita CAPTCHA sul Sito"
"Font","Font"
"Forms","Form"
"If 0 is specified, CAPTCHA on the Login form will be always available.","Se viene inserito 0 come valore, CAPTCHA sarà sempre abilitato per l'Accesso."
"Incorrect CAPTCHA.","CAPTCHA Incorretto."
"Number of Symbols","Numero di  Simboli"
"Number of Unsuccessful Attempts to Login","Numero di Tentativi Errati di Accesso"
"Please specify 8 symbols at the most. Range allowed (e.g. 3-5)","Per favore specifica al massimo 8 simboli. Sono permessi gli intervalli (es. 3-5)"
"Please type the letters below","Per favore, scrivi qui sotto le lettere"
"Please type the letters from the image:","Per favore, scrivi le lettere dall'immagine:"
"Please use only letters (a-z or A-Z) or numbers (0-9) in this field. No spaces or other characters are allowed.<br />Similar looking characters (e.g. ""i"", ""l"", ""1"") decrease chance of correct recognition by customer.","Per favore, in questo campo usa solo lettere (a-z o A-Z) o numberi (0-9). Non sono permessi spazi o altri caratteri.<br />Caratteri simili tra di loro (es. ""i"", ""l"", ""1"") diminuiscono le possibilità che il cliente li riconosca."
"Reload captcha","Ricarica CAPTCHA"
"Symbols Used in CAPTCHA","Simbli usati nel CAPTCHA"
